Body_Type,Diet,Gender,Social_Activity,How_Often_Shower,Heating_Energy_Source,Transport,Vehicle_Type,Waste_Bag_Size,Frequency_Travelling_Air,New_Clothes_Monthly,Waste_Bag_Weekly,Monthly_Grocery_Bill,Daily_TV_PC_Hour,Vehicle_Monthly_Distance,Energy_Efficiency
underweight,pescetarian,other,moderate,rarely,electricity,public,petrol,medium,rarely,16,1,517,7.37,4928,7.03
overweight,vegetarian,female,moderate,frequently,electricity,bike,petrol,small,rarely,13,1,92,0.8,2839,1.1
underweight,omnivore,female,low,twice a day,electricity,private,diesel,small,never,4,6,166,3.1,1239,4.93
overweight,vegetarian,other,high,rarely,gas,private,petrol,medium,never,12,5,528,8.89,4227,1.36
athletic,vegetarian,other,low,frequently,wood,hybrid,electric,large,rarely,17,7,298,9.08,2071,3.13
athletic,pescetarian,female,moderate,rarely,electricity,walk,electric,extra large,frequently,6,5,88,4.51,2529,5.22
average,vegetarian,other,high,twice a day,electricity,private,hybrid,large,rarely,16,4,442,0.8,800,6.23
overweight,pescetarian,other,high,rarely,solar,bike,hybrid,large,frequently,10,4,210,6.44,3958,8.89
athletic,vegetarian,other,low,twice a day,electricity,public,diesel,extra large,never,16,6,279,8.79,1452,2.66
overweight,vegan,female,low,frequently,wood,bike,electric,medium,frequently,18,7,220,3.98,2552,3.78
athletic,omnivore,female,moderate,daily,wood,hybrid,diesel,medium,frequently,5,6,386,9.46,3185,6.01
underweight,omnivore,other,moderate,frequently,gas,private,hybrid,extra large,never,19,4,506,3.95,3382,2.91
athletic,pescetarian,male,moderate,daily,gas,walk,diesel,small,never,17,1,443,2.03,1944,9.17
average,vegan,other,moderate,frequently,solar,walk,diesel,large,frequently,9,4,195,9.59,4395,8.87
underweight,omnivore,other,high,daily,gas,private,petrol,small,rarely,0,7,314,1.6,3618,8.98
average,pescetarian,female,moderate,frequently,wood,walk,hybrid,medium,rarely,0,4,298,2.93,2428,7.48
underweight,vegetarian,male,moderate,twice a day,gas,bike,petrol,large,never,14,2,574,10.24,3799,9.97
overweight,vegetarian,other,moderate,daily,gas,public,hybrid,medium,never,5,6,147,6.27,1653,8.44
average,vegan,male,low,daily,electricity,private,petrol,extra large,rarely,6,6,437,1.85,2619,5.46
athletic,omnivore,female,low,twice a day,wood,public,hybrid,extra large,rarely,9,5,208,7.39,3308,7.65
overweight,vegetarian,male,low,twice a day,solar,walk,hybrid,small,never,3,4,524,7.03,4413,1.86
athletic,pescetarian,female,moderate,daily,gas,hybrid,electric,small,rarely,13,5,538,6.62,2019,9.26
underweight,vegetarian,other,high,daily,gas,public,hybrid,medium,frequently,7,3,74,4.09,3194,9.86
underweight,vegetarian,female,moderate,daily,solar,hybrid,diesel,medium,never,0,6,265,4.88,2629,8.71
athletic,omnivore,male,low,rarely,solar,bike,electric,extra large,frequently,1,2,125,9.13,2928,1.32
athletic,omnivore,male,low,frequently,wood,hybrid,petrol,large,frequently,18,3,322,11.12,331,2.49
overweight,pescetarian,male,moderate,twice a day,solar,public,diesel,extra large,frequently,9,6,575,6.94,3338,1.95
athletic,vegan,other,high,twice a day,gas,public,diesel,medium,frequently,3,5,117,11.19,2033,4.83
average,vegan,male,high,frequently,wood,private,hybrid,extra large,rarely,16,5,118,2.11,4928,1.34
average,vegetarian,male,high,twice a day,wood,hybrid,hybrid,small,never,15,3,574,3.48,4286,9.49
athletic,pescetarian,male,low,twice a day,solar,bike,diesel,small,rarely,4,4,134,10.03,3769,6.27
average,vegan,female,low,daily,wood,private,electric,medium,frequently,9,2,319,11.56,4876,6.11
athletic,vegan,male,high,twice a day,gas,private,diesel,extra large,frequently,10,5,186,10.69,2977,5.01
overweight,vegetarian,female,moderate,rarely,gas,bike,diesel,medium,frequently,0,1,349,5.9,2139,4.04
average,pescetarian,male,high,rarely,gas,private,hybrid,large,frequently,12,2,588,9.73,3598,5.36
average,vegan,female,moderate,daily,wood,bike,hybrid,small,never,19,3,218,2.41,3580,5.66
athletic,omnivore,female,low,daily,solar,walk,hybrid,extra large,never,1,5,399,3.81,4345,7.26
average,omnivore,other,low,twice a day,gas,private,petrol,small,never,0,5,59,11.98,2224,2.49
underweight,vegetarian,other,low,daily,electricity,public,diesel,extra large,frequently,13,6,465,2.14,959,6.18
overweight,vegetarian,female,high,daily,solar,walk,diesel,small,frequently,11,3,331,2.91,185,6.21
overweight,vegetarian,female,high,frequently,wood,private,petrol,medium,never,10,1,63,8.67,4881,4.3
average,vegetarian,other,low,daily,gas,bike,diesel,small,never,0,6,350,8.03,3412,9.68
average,vegan,female,low,rarely,wood,walk,diesel,extra large,never,13,1,203,8.62,1217,7.71
underweight,pescetarian,other,low,twice a day,gas,walk,diesel,medium,rarely,7,5,56,11.4,3596,7.4
underweight,vegetarian,other,high,daily,wood,public,electric,extra large,frequently,17,4,277,1.44,4194,8.86
average,vegetarian,male,high,frequently,electricity,private,petrol,large,never,4,1,243,6.93,4246,4.05
average,vegan,male,low,twice a day,wood,private,petrol,extra large,never,2,1,334,3.09,3819,2.91
underweight,vegetarian,other,high,twice a day,wood,bike,diesel,extra large,frequently,5,7,425,4.73,4885,4.94
athletic,vegetarian,other,high,twice a day,wood,walk,hybrid,medium,rarely,4,4,281,3.89,259,6.38
underweight,pescetarian,female,high,frequently,gas,public,diesel,extra large,frequently,1,7,168,11.17,978,6.02
athletic,omnivore,other,high,rarely,solar,bike,diesel,large,never,2,6,293,11.36,2062,2.98
overweight,vegetarian,other,low,frequently,wood,bike,electric,large,never,3,1,314,5.98,1464,3.42
overweight,vegan,male,low,frequently,solar,public,electric,medium,rarely,0,4,425,8.75,4409,9.33
underweight,pescetarian,other,high,twice a day,gas,private,hybrid,large,rarely,15,7,518,2.54,1467,1.73
athletic,vegan,female,low,frequently,wood,public,electric,medium,frequently,18,3,148,4.06,4871,5.54
underweight,pescetarian,other,low,twice a day,gas,private,diesel,small,never,7,6,207,7.9,3879,5.27
underweight,pescetarian,male,low,daily,solar,hybrid,diesel,extra large,rarely,1,2,126,8.07,3438,4.45
athletic,vegetarian,male,moderate,daily,gas,walk,electric,extra large,never,2,2,444,10.91,1709,8.05
underweight,vegetarian,male,low,frequently,gas,public,electric,extra large,rarely,13,3,330,9.05,111,9.3
overweight,vegetarian,male,low,rarely,solar,bike,petrol,extra large,rarely,6,1,261,10.11,4532,9.98
average,omnivore,other,high,twice a day,gas,private,diesel,medium,never,12,2,404,9.88,1163,2.1
average,omnivore,female,high,frequently,solar,walk,hybrid,extra large,never,6,3,330,3.26,1627,1.39
underweight,vegan,female,moderate,frequently,solar,walk,electric,large,frequently,15,2,521,9.76,3451,3.48
athletic,vegetarian,female,moderate,rarely,wood,public,electric,large,frequently,2,1,165,2.48,1461,7.14
athletic,omnivore,other,low,twice a day,wood,bike,petrol,small,frequently,4,6,546,0.15,2419,4.64
overweight,vegetarian,other,low,frequently,gas,public,petrol,medium,never,2,4,262,7.39,3734,5.19
athletic,omnivore,other,high,rarely,gas,bike,electric,small,rarely,14,7,225,4.37,3187,9.99
athletic,omnivore,female,low,twice a day,gas,hybrid,hybrid,extra large,frequently,19,3,312,8.04,2205,5.42
overweight,pescetarian,other,low,daily,electricity,public,hybrid,large,never,10,6,134,2.67,2822,9.24
underweight,vegetarian,other,low,rarely,electricity,private,electric,medium,frequently,17,2,386,3.01,4421,4.71
average,vegetarian,male,low,frequently,wood,public,petrol,large,frequently,4,1,222,10.79,2308,4.96
overweight,omnivore,male,low,daily,solar,public,diesel,medium,frequently,12,6,323,7.98,826,7.94
underweight,vegetarian,female,low,twice a day,electricity,hybrid,diesel,small,rarely,0,2,130,1.07,3757,9.11
overweight,omnivore,male,low,rarely,electricity,hybrid,petrol,extra large,never,13,1,282,4.2,3239,8.32
underweight,vegetarian,male,low,daily,solar,public,diesel,small,rarely,8,1,322,7.8,4927,5.24
overweight,pescetarian,male,high,daily,gas,bike,petrol,extra large,frequently,8,1,587,8.6,1903,7.28
underweight,vegetarian,other,moderate,frequently,gas,hybrid,hybrid,large,frequently,3,1,473,5.96,1396,3.37
overweight,pescetarian,male,low,daily,electricity,hybrid,diesel,small,rarely,1,3,241,3.02,3651,1.69
underweight,vegan,male,high,frequently,electricity,bike,electric,small,frequently,15,6,222,8.03,4720,2.42
overweight,vegetarian,male,low,twice a day,solar,walk,electric,large,frequently,4,4,174,1.01,3358,1.22
average,vegetarian,other,low,frequently,solar,hybrid,diesel,large,rarely,19,3,307,9.51,2578,5
average,vegetarian,female,moderate,rarely,electricity,hybrid,electric,large,never,17,2,104,9.07,4282,6.9
athletic,pescetarian,other,high,daily,solar,bike,petrol,medium,frequently,1,3,201,3.45,2352,1.3
underweight,vegetarian,other,low,twice a day,gas,bike,petrol,large,frequently,13,3,473,0.73,3304,1.47
overweight,vegetarian,male,moderate,frequently,wood,public,electric,medium,never,14,2,513,1.07,1868,5.69
underweight,omnivore,female,moderate,frequently,electricity,public,diesel,large,rarely,9,4,243,5.12,3939,9.46
average,vegan,male,low,frequently,wood,walk,diesel,medium,rarely,15,3,315,2.2,787,2.27
underweight,pescetarian,male,low,twice a day,solar,walk,diesel,large,frequently,7,1,302,5.24,2201,7.11
overweight,omnivore,female,high,twice a day,wood,walk,hybrid,medium,frequently,13,3,52,0.69,3961,6.89
underweight,pescetarian,female,high,rarely,electricity,private,diesel,extra large,rarely,19,7,297,5.32,300,3.75
overweight,omnivore,other,low,twice a day,solar,bike,diesel,extra large,frequently,9,2,186,10.83,4467,1.68
average,vegan,female,low,frequently,wood,hybrid,petrol,small,rarely,12,7,260,8.14,795,6.48
average,omnivore,other,moderate,twice a day,gas,bike,hybrid,large,rarely,18,4,290,0.78,2325,4.99
average,pescetarian,other,high,frequently,electricity,bike,petrol,large,rarely,1,7,236,1.01,2853,3.81
athletic,vegetarian,male,low,rarely,electricity,walk,electric,medium,frequently,4,3,456,6.09,196,8.02
average,vegetarian,male,low,rarely,electricity,bike,electric,small,rarely,13,3,572,3.16,3145,4.64
underweight,vegan,male,high,frequently,electricity,private,diesel,extra large,never,7,7,590,5.3,696,6.55
athletic,pescetarian,female,low,twice a day,solar,hybrid,hybrid,small,never,0,2,152,9.22,2737,3.31
average,pescetarian,female,moderate,twice a day,gas,walk,electric,medium,rarely,4,5,568,4.72,4341,1.7
underweight,pescetarian,other,moderate,daily,gas,public,diesel,large,never,10,5,215,3.61,1340,2.4
underweight,vegan,other,low,rarely,wood,hybrid,hybrid,small,rarely,7,6,53,10.74,3115,4.31
underweight,vegetarian,other,high,rarely,electricity,public,electric,large,frequently,16,7,315,8.56,2725,7.6
overweight,omnivore,female,moderate,frequently,electricity,public,electric,extra large,frequently,9,3,301,7.61,2231,6.27
athletic,vegan,other,high,daily,wood,bike,hybrid,medium,frequently,13,6,297,0.86,1564,4.39
underweight,omnivore,other,high,twice a day,solar,hybrid,hybrid,large,rarely,0,1,521,6.01,2557,5.27
overweight,vegetarian,female,high,frequently,gas,private,hybrid,small,rarely,4,3,548,10.74,3019,6.23
average,vegan,male,moderate,twice a day,electricity,bike,hybrid,medium,never,14,6,315,9.87,4695,2.52
underweight,vegetarian,female,moderate,twice a day,wood,public,electric,extra large,never,9,7,285,0.77,602,3.45
overweight,omnivore,other,low,twice a day,gas,hybrid,hybrid,small,frequently,14,5,233,9.01,4299,3.49
underweight,pescetarian,male,high,daily,wood,bike,petrol,large,rarely,0,3,530,10.49,1217,1.93
athletic,pescetarian,female,moderate,rarely,wood,hybrid,petrol,large,never,10,1,581,2.93,658,2.8
athletic,omnivore,male,moderate,rarely,solar,walk,electric,medium,frequently,17,4,391,6.25,4214,6.03
average,pescetarian,male,low,twice a day,gas,private,electric,extra large,rarely,5,3,65,10.63,2150,3.04
underweight,omnivore,other,moderate,daily,electricity,private,diesel,small,never,1,2,147,10.57,4336,6.24
overweight,vegan,female,moderate,twice a day,gas,private,electric,extra large,never,1,1,564,4.95,908,1.22
average,vegan,other,moderate,twice a day,solar,public,hybrid,small,never,16,3,391,6.09,2522,2.56
underweight,vegan,female,low,frequently,electricity,public,hybrid,small,never,4,5,436,1.27,1548,6.5
average,pescetarian,female,low,daily,gas,private,electric,medium,frequently,19,6,594,6.41,4226,6.26
overweight,vegetarian,female,high,daily,solar,hybrid,petrol,large,frequently,13,3,472,10.33,736,3.48
average,pescetarian,male,moderate,rarely,electricity,walk,diesel,large,never,11,6,475,2.07,146,6.61
average,pescetarian,male,low,rarely,electricity,public,electric,large,rarely,3,5,269,5.5,3314,2.49
average,vegetarian,other,low,twice a day,wood,bike,electric,extra large,rarely,8,7,333,7.72,4651,8.36
underweight,vegetarian,female,low,frequently,wood,bike,diesel,small,rarely,17,2,272,0.58,4177,3.25
overweight,vegetarian,female,high,frequently,solar,public,petrol,medium,frequently,9,4,386,0.44,2003,5.21
athletic,vegetarian,male,high,frequently,electricity,private,electric,extra large,rarely,6,5,127,10.19,4160,9.53
underweight,pescetarian,female,high,twice a day,gas,hybrid,petrol,small,rarely,4,3,213,11.58,3995,6.2
athletic,omnivore,other,high,rarely,electricity,walk,hybrid,medium,rarely,14,2,274,9.13,723,7.77
athletic,vegan,female,high,daily,solar,bike,petrol,small,rarely,12,1,326,11.56,3221,7.71
underweight,omnivore,female,moderate,twice a day,gas,public,hybrid,medium,frequently,13,3,86,1.84,1592,4.43
underweight,pescetarian,male,moderate,frequently,electricity,hybrid,diesel,extra large,rarely,3,6,411,10.44,384,1.9
overweight,vegetarian,female,low,frequently,gas,private,electric,small,never,5,7,506,10.87,2091,4.06
overweight,vegan,other,high,twice a day,wood,walk,hybrid,small,frequently,14,7,579,3.48,471,1.3
average,vegan,other,high,frequently,gas,walk,petrol,extra large,rarely,12,6,246,7.78,1641,3.38
athletic,omnivore,other,low,daily,wood,bike,electric,medium,never,12,7,125,3.67,820,1.33
overweight,pescetarian,other,moderate,twice a day,gas,bike,hybrid,large,frequently,17,6,361,1.31,1992,4.78
average,pescetarian,male,high,daily,wood,public,hybrid,large,never,16,7,563,9.76,3262,1.08
overweight,pescetarian,female,high,rarely,solar,walk,petrol,medium,rarely,0,1,321,10.87,1370,7.85
underweight,vegan,male,high,frequently,gas,private,hybrid,medium,rarely,3,6,148,1.32,3898,9.67
overweight,omnivore,other,moderate,frequently,electricity,private,diesel,large,rarely,10,6,133,7.78,2652,1.28
athletic,vegan,female,moderate,rarely,solar,public,hybrid,small,never,18,5,339,11.65,2415,6.2
overweight,vegan,male,high,rarely,solar,walk,petrol,extra large,frequently,12,6,147,3.28,4132,3.43
athletic,vegetarian,female,high,rarely,gas,bike,electric,large,never,15,7,581,9.01,3528,5.71
underweight,omnivore,other,low,frequently,solar,private,petrol,medium,never,18,2,286,4.95,944,9.49
athletic,vegetarian,other,low,rarely,wood,hybrid,petrol,small,never,14,7,420,0.76,514,7.89
overweight,pescetarian,female,moderate,twice a day,wood,public,electric,medium,rarely,11,4,200,8.4,1922,7.72
average,vegan,female,low,rarely,gas,private,hybrid,large,never,7,3,338,2.95,1283,3.64
underweight,omnivore,other,high,twice a day,solar,hybrid,diesel,extra large,never,0,2,100,7.16,3595,8.17
overweight,pescetarian,male,moderate,twice a day,electricity,hybrid,petrol,extra large,never,7,2,501,0.85,4967,1.92
underweight,omnivore,other,low,daily,gas,private,petrol,small,frequently,4,4,97,1.44,2506,7.37
underweight,vegan,female,moderate,twice a day,gas,public,diesel,extra large,never,0,6,432,0.07,3920,4.64
overweight,omnivore,male,high,twice a day,solar,hybrid,petrol,large,never,11,5,128,2.61,3484,4.94
overweight,pescetarian,other,low,rarely,wood,hybrid,electric,large,rarely,3,6,380,1.57,2065,5.41
average,vegetarian,female,low,frequently,solar,walk,hybrid,large,never,14,6,374,3.52,2580,7.91
underweight,vegan,female,low,rarely,electricity,walk,electric,small,never,8,4,241,2.45,2068,3.8
underweight,vegetarian,female,high,daily,electricity,walk,petrol,large,rarely,9,4,409,3.16,4449,3.91
overweight,vegan,male,moderate,daily,electricity,hybrid,electric,extra large,never,12,7,93,1.54,1700,5.68
athletic,pescetarian,male,low,frequently,electricity,hybrid,petrol,small,never,9,4,582,2.13,2025,3.41
overweight,vegan,male,moderate,twice a day,gas,public,hybrid,large,frequently,9,6,266,3.38,953,5.02
underweight,vegetarian,male,moderate,daily,electricity,bike,electric,large,frequently,13,1,105,5.24,1409,6.94
overweight,vegan,female,moderate,frequently,electricity,walk,electric,medium,never,18,7,60,3.15,939,9.91
average,pescetarian,female,high,rarely,electricity,bike,diesel,large,frequently,18,7,406,2.25,591,3.36
athletic,vegan,male,high,rarely,solar,walk,diesel,small,never,0,6,528,7.64,3373,3.36
overweight,vegetarian,male,low,rarely,wood,walk,petrol,medium,frequently,7,3,154,4.35,380,4.55
average,pescetarian,female,low,twice a day,wood,public,electric,small,never,16,4,599,7.24,3551,6.93
underweight,vegetarian,other,moderate,twice a day,wood,public,hybrid,large,frequently,9,3,56,4.79,1451,9.34
overweight,vegan,other,moderate,frequently,electricity,private,hybrid,extra large,never,0,6,93,4.96,1762,9.54
underweight,omnivore,female,moderate,daily,solar,walk,diesel,medium,rarely,7,6,243,4.51,2700,4.04
average,vegetarian,male,high,rarely,gas,walk,diesel,medium,rarely,4,4,297,10.23,2899,4.76
underweight,vegan,male,high,twice a day,solar,walk,diesel,medium,never,1,5,86,4.6,3333,4.93
average,omnivore,female,low,twice a day,gas,public,hybrid,small,frequently,18,5,362,7.22,4763,4.14
average,omnivore,other,moderate,daily,solar,walk,hybrid,medium,rarely,1,4,126,5.6,3241,3.84
average,pescetarian,female,moderate,rarely,wood,private,hybrid,extra large,frequently,19,2,312,7.11,4781,1.64
overweight,omnivore,female,high,rarely,wood,hybrid,petrol,extra large,frequently,10,3,474,2.35,4954,5.91
underweight,vegetarian,female,low,daily,electricity,private,electric,medium,rarely,2,5,255,1.43,3694,6.96
underweight,vegetarian,male,moderate,frequently,wood,hybrid,petrol,small,rarely,8,1,143,7.09,1360,9.92
athletic,omnivore,male,moderate,frequently,wood,public,electric,small,frequently,7,2,235,11.8,1375,6.57
athletic,vegan,male,low,daily,wood,bike,electric,small,never,5,7,167,3.09,4329,6.49
athletic,vegetarian,other,moderate,daily,solar,public,electric,large,rarely,13,5,96,0.02,741,4.33
athletic,vegetarian,female,high,frequently,wood,bike,diesel,small,never,7,2,176,10.95,2658,1.52
underweight,pescetarian,female,low,daily,gas,hybrid,electric,small,never,14,6,127,1.58,3622,6.53
average,vegan,other,moderate,rarely,electricity,bike,diesel,medium,rarely,2,3,565,10.41,1495,2.13
average,omnivore,male,moderate,frequently,solar,hybrid,electric,large,never,7,6,378,6.17,4323,7.7
overweight,vegan,female,high,frequently,gas,bike,petrol,medium,never,15,6,402,2.15,1951,7.79
average,pescetarian,other,high,frequently,solar,hybrid,petrol,small,never,5,2,237,2.36,1447,1.95
underweight,pescetarian,male,high,rarely,wood,bike,electric,small,never,6,1,279,6.33,3279,3.5
underweight,vegan,male,moderate,daily,solar,hybrid,petrol,medium,frequently,12,7,370,9.54,4010,8.38
underweight,pescetarian,female,moderate,twice a day,solar,private,petrol,large,never,19,2,535,9.73,3477,9.66
overweight,pescetarian,male,moderate,twice a day,electricity,walk,electric,large,never,8,6,421,2.86,4451,7.58
athletic,pescetarian,other,low,rarely,solar,private,electric,medium,never,18,7,127,8.53,4466,4.61
average,vegan,male,high,rarely,solar,public,diesel,small,never,6,5,505,5.76,2653,8.44
underweight,pescetarian,female,low,daily,electricity,bike,petrol,large,frequently,15,7,568,7.44,3152,3.64
underweight,omnivore,other,high,twice a day,solar,hybrid,petrol,large,frequently,6,1,242,1.56,1182,8.8
athletic,omnivore,male,moderate,frequently,solar,private,electric,extra large,frequently,14,6,468,5.21,2380,1.39
underweight,vegetarian,male,low,rarely,gas,private,hybrid,medium,rarely,4,3,467,1.48,4019,9.94
average,omnivore,male,low,twice a day,gas,hybrid,diesel,large,rarely,1,5,455,6.03,509,1.99
overweight,vegetarian,other,high,frequently,solar,bike,diesel,extra large,frequently,1,3,470,0.74,3082,9.24
underweight,vegan,male,low,frequently,solar,public,hybrid,extra large,rarely,19,6,365,1.6,427,8.67
average,pescetarian,female,low,daily,wood,public,diesel,extra large,frequently,4,4,61,3.9,1278,3.64
underweight,omnivore,other,moderate,rarely,gas,public,diesel,small,never,11,5,428,6.13,3798,5.16
athletic,vegetarian,other,high,frequently,wood,hybrid,petrol,medium,frequently,3,2,341,1.38,3159,2.93
underweight,vegan,male,low,rarely,solar,private,petrol,large,frequently,17,3,130,10.55,1761,5.33
underweight,vegetarian,other,moderate,twice a day,wood,public,electric,extra large,rarely,19,2,87,3.36,3596,2.63
overweight,pescetarian,female,low,twice a day,wood,private,electric,small,frequently,10,7,249,7.01,3872,3.63
athletic,omnivore,other,moderate,rarely,electricity,public,diesel,small,never,19,7,321,1.7,848,1.35
athletic,vegan,female,low,frequently,electricity,public,hybrid,medium,frequently,5,6,564,8.86,4966,5.97
overweight,vegetarian,male,moderate,frequently,solar,bike,electric,medium,frequently,12,1,171,6.48,350,7.51
underweight,vegan,other,moderate,twice a day,gas,hybrid,electric,small,frequently,4,3,277,11.21,4340,2.82
average,vegetarian,female,high,frequently,solar,bike,hybrid,small,frequently,3,3,594,8.25,3820,6.51
athletic,vegetarian,male,moderate,frequently,gas,private,diesel,extra large,rarely,9,1,375,11.78,2666,1.43
athletic,pescetarian,female,low,twice a day,electricity,private,diesel,extra large,rarely,1,1,323,9.75,3459,1.75
underweight,pescetarian,other,moderate,daily,gas,hybrid,electric,large,rarely,7,1,309,6.36,4800,5.9
underweight,vegetarian,other,moderate,twice a day,wood,public,diesel,extra large,frequently,19,6,221,2.7,3125,1.53
athletic,omnivore,female,low,rarely,wood,hybrid,diesel,extra large,never,19,1,287,4.08,754,5.11
underweight,vegan,male,low,daily,electricity,public,electric,extra large,rarely,2,7,397,4.51,4427,1.58
average,vegan,male,moderate,rarely,solar,walk,electric,large,never,8,4,420,10.96,3023,4.14
athletic,pescetarian,male,low,daily,gas,walk,petrol,large,rarely,19,3,595,3.09,4632,8.93
average,omnivore,male,moderate,daily,solar,hybrid,petrol,large,never,1,6,162,8.67,1054,7.72
average,vegetarian,female,moderate,twice a day,gas,walk,diesel,large,frequently,16,6,214,7.06,3324,4.72
underweight,pescetarian,other,moderate,twice a day,electricity,walk,hybrid,extra large,frequently,0,7,530,2.06,156,4.15
average,vegetarian,female,low,rarely,wood,private,petrol,medium,rarely,16,4,449,3.22,2122,4.28
underweight,vegetarian,other,high,twice a day,wood,public,diesel,large,never,4,7,237,3.41,861,2.19
overweight,pescetarian,other,high,daily,gas,walk,hybrid,large,frequently,12,4,157,2.15,4370,4.52
underweight,omnivore,female,moderate,twice a day,solar,bike,petrol,large,frequently,7,7,258,9.41,3590,6.29
average,vegan,female,moderate,rarely,electricity,private,petrol,extra large,frequently,6,2,83,3.76,4073,8.63
overweight,pescetarian,male,low,daily,electricity,public,diesel,small,rarely,13,3,107,6.41,508,7.14
underweight,omnivore,other,high,rarely,solar,private,electric,extra large,never,7,3,353,8.84,2074,6.74
average,vegetarian,male,high,frequently,wood,bike,electric,large,rarely,10,6,121,11.62,1025,1.6
athletic,pescetarian,male,high,twice a day,solar,public,hybrid,extra large,never,2,3,308,10.92,4095,2.28
athletic,vegan,female,low,daily,wood,hybrid,electric,medium,rarely,4,3,72,2.55,4902,1.85
underweight,vegan,male,low,rarely,gas,hybrid,diesel,extra large,frequently,17,1,132,10.73,1251,2.72
underweight,vegetarian,male,low,twice a day,electricity,private,petrol,small,never,4,7,50,10.15,4150,7.97
athletic,pescetarian,male,moderate,twice a day,gas,hybrid,hybrid,small,rarely,12,5,416,0.36,1460,6.58
average,vegan,female,low,rarely,solar,public,electric,large,frequently,4,2,54,10.62,2444,4.98
average,pescetarian,male,moderate,daily,solar,bike,petrol,small,frequently,1,2,118,6.41,160,1.1
average,vegan,male,moderate,rarely,gas,bike,diesel,large,never,12,1,249,2.3,2175,7.01
underweight,vegetarian,female,moderate,twice a day,solar,hybrid,diesel,extra large,rarely,5,7,556,11.94,2551,5.85
overweight,vegetarian,female,moderate,rarely,solar,walk,petrol,extra large,frequently,16,4,287,3.74,3774,1.75
overweight,pescetarian,female,low,frequently,solar,walk,diesel,large,never,7,5,334,2.25,3834,7.31
overweight,omnivore,other,low,twice a day,electricity,walk,diesel,large,never,16,2,284,2.08,1178,3.43
overweight,omnivore,female,high,daily,electricity,hybrid,petrol,extra large,frequently,18,4,424,6.32,707,5.36
overweight,vegetarian,other,high,frequently,wood,hybrid,electric,medium,rarely,14,7,434,2.1,2035,3.87
underweight,vegan,female,moderate,rarely,electricity,hybrid,hybrid,small,never,0,3,274,6.24,2670,3.9
underweight,omnivore,female,high,daily,gas,public,petrol,small,frequently,17,6,498,8.85,3068,1.53
overweight,vegetarian,female,high,frequently,gas,walk,petrol,small,frequently,6,5,251,11.38,1232,1.43
underweight,vegan,other,high,rarely,electricity,private,electric,small,frequently,6,5,259,4.41,2183,8
underweight,vegan,male,moderate,frequently,gas,public,hybrid,extra large,rarely,15,6,71,11.71,337,1.03
overweight,omnivore,female,high,twice a day,solar,public,diesel,small,rarely,10,3,550,11.87,1808,3.59
average,vegetarian,other,low,daily,electricity,hybrid,electric,extra large,never,4,2,592,7.06,774,9.56
underweight,vegan,female,moderate,frequently,wood,hybrid,hybrid,large,never,13,7,371,3.63,124,8.19
average,vegan,male,low,twice a day,wood,public,petrol,extra large,frequently,9,5,264,10.24,741,5.67
underweight,pescetarian,other,moderate,rarely,electricity,hybrid,hybrid,large,never,4,1,308,0.64,1557,7.68
underweight,pescetarian,female,low,twice a day,gas,walk,electric,large,frequently,18,1,477,5.29,638,9.49
overweight,omnivore,female,high,rarely,electricity,public,diesel,medium,never,17,1,426,7.61,2695,9.46
underweight,pescetarian,female,moderate,daily,electricity,public,hybrid,medium,rarely,3,6,266,11.78,1997,5.01
athletic,vegetarian,male,low,twice a day,wood,public,hybrid,medium,rarely,8,5,218,8.34,893,3.9
athletic,omnivore,other,moderate,twice a day,solar,hybrid,petrol,medium,frequently,18,2,574,2.77,1540,7.73
overweight,omnivore,female,low,rarely,solar,public,hybrid,small,never,10,6,571,10.24,999,4.69
average,pescetarian,female,high,frequently,electricity,private,petrol,medium,never,2,4,439,7.89,1829,2.39
average,vegan,other,moderate,rarely,wood,private,electric,small,never,10,2,502,10.37,3329,2.74
average,vegetarian,male,moderate,frequently,wood,walk,diesel,small,frequently,6,4,483,8.35,4908,5.89
athletic,vegetarian,male,low,rarely,electricity,public,electric,small,never,16,7,472,4.17,283,5.58
average,vegetarian,male,low,daily,electricity,public,hybrid,large,rarely,17,5,390,1.4,365,5.17
average,omnivore,male,high,frequently,electricity,hybrid,hybrid,large,never,14,7,428,8.3,2571,4.33
overweight,vegetarian,male,low,twice a day,solar,bike,petrol,small,rarely,16,3,438,2.44,3755,3.93
average,vegan,female,low,frequently,electricity,bike,petrol,medium,never,16,4,274,0.79,3484,2.69
athletic,vegan,female,low,rarely,wood,public,electric,small,frequently,9,4,366,3.51,3877,7.14
athletic,pescetarian,female,high,rarely,electricity,walk,electric,large,frequently,14,2,576,3.8,3008,5.53
athletic,vegetarian,other,high,frequently,wood,private,electric,medium,never,15,5,562,11.91,3576,4.32
overweight,omnivore,male,moderate,twice a day,wood,public,diesel,large,never,14,2,379,6.76,4139,8
overweight,pescetarian,other,high,daily,gas,public,petrol,medium,rarely,8,5,321,11.88,2459,6.69
underweight,vegan,male,low,twice a day,wood,walk,electric,large,frequently,18,7,400,9.27,3872,7.8
average,vegetarian,male,moderate,frequently,gas,walk,petrol,small,never,0,4,77,5.93,1787,6.8
overweight,vegan,other,high,rarely,electricity,bike,electric,extra large,frequently,1,3,86,3.41,579,6.63
